index,content_type,avg_score,critique,scores
0,social_media_review,4.5,真实体验与专业融合出色,"{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '真实体验与专业融合出色'}"
1,social_media_educational,4.25,专业科普但故事性稍弱,"{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业科普但故事性稍弱'}"
2,social_media_myth_busting,4.25,专业性强，但故事性稍弱,"{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业性强，但故事性稍弱'}"
3,social_media_storytelling,4.25,情感真挚，品牌契合度高,"{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '情感真挚，品牌契合度高'}"
4,ecommerce_long_form,5.0,专业性强，信息清晰，信任感高,"{'score_professionalism_persuasion': 5, 'score_clarity_value': 5, 'score_trust_building': 5, 'critique': '专业性强，信息清晰，信任感高'}"
5,paid_ad_cta,4.8,文案简洁有力，核心信息突出，CTA明确且吸引人。,"{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁有力，核心信息突出，CTA明确且吸引人。'}"
6,paid_ad_pas,4.4,文案在点击吸引力和行动号召有效性方面表现优秀，但简洁性略有不足，部分内容可以更精炼。,"{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案在点击吸引力和行动号召有效性方面表现优秀，但简洁性略有不足，部分内容可以更精炼。'}"
7,paid_ad_bab,3.8,文案缺乏强有力的行动号召（CTA），未能有效引导用户点击或购买。,"{'score_suitability_brevity': 4, 'score_click_appeal': 3, 'score_cta_effectiveness': 2, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案缺乏强有力的行动号召（CTA），未能有效引导用户点击或购买。'}"
8,paid_ad_fab,4.4,文案简洁且信息高度压缩，完美适配信息流的阅读场景，但CTA部分略显模板化，缺乏更强的点击驱动力。,"{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁且信息高度压缩，完美适配信息流的阅读场景，但CTA部分略显模板化，缺乏更强的点击驱动力。'}"
9,social_media_review,4.5,真实感强，品牌契合度高,"{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '真实感强，品牌契合度高'}"
