index,content_type,avg_score,critique,scores
0,social_media_review,3.5,内容中规中矩，广告感较重,"{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 5, 'critique': '内容中规中矩，广告感较重'}"
1,social_media_educational,3.25,内容中规中矩，品牌契合度一般,"{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '内容中规中矩，品牌契合度一般'}"
2,social_media_myth_busting,3.5,信息丰富但故事性不足,"{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '信息丰富但故事性不足'}"
3,social_media_storytelling,3.5,内容中规中矩，广告感较重,"{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 5, 'critique': '内容中规中矩，广告感较重'}"
4,ecommerce_long_form,4.0,专业且清晰，信任感强,"{'score_professionalism_persuasion': 4, 'score_clarity_value': 4, 'score_trust_building': 4, 'critique': '专业且清晰，信任感强'}"
5,paid_ad_cta,4.6,钩子部分简洁有力，能迅速抓住注意力，但利益点部分略显冗长，可能影响信息流的快速阅读体验。,"{'score_suitability_brevity': 4, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '钩子部分简洁有力，能迅速抓住注意力，但利益点部分略显冗长，可能影响信息流的快速阅读体验。'}"
6,paid_ad_pas,4.2,文案在点击吸引力和行动号召有效性方面表现良好，但在简洁性上略显冗长，部分内容可以进一步精简以适应信息流广告的快速阅读场景。,"{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案在点击吸引力和行动号召有效性方面表现良好，但在简洁性上略显冗长，部分内容可以进一步精简以适应信息流广告的快速阅读场景。'}"
7,paid_ad_bab,4.2,文案在点击吸引力和行动号召有效性方面表现良好，但简洁性略有不足，部分内容略显冗长。,"{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案在点击吸引力和行动号召有效性方面表现良好，但简洁性略有不足，部分内容略显冗长。'}"
8,paid_ad_fab,4.2,文案开头具有较强的吸引力，但整体略显冗长，部分信息可以更精简。,"{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案开头具有较强的吸引力，但整体略显冗长，部分信息可以更精简。'}"
9,social_media_review,4.0,情感真挚但专业感稍弱,"{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 3, 'score_instruction_following': 5, 'critique': '情感真挚但专业感稍弱'}"
10,social_media_educational,3.75,科普性强但故事性稍弱,"{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 3, 'score_instruction_following': 5, 'critique': '科普性强但故事性稍弱'}"
11,social_media_myth_busting,3.5,内容实用但品牌调性稍弱,"{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '内容实用但品牌调性稍弱'}"
12,social_media_storytelling,4.0,故事生动但专业感稍弱,"{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 3, 'score_instruction_following': 5, 'critique': '故事生动但专业感稍弱'}"
13,ecommerce_long_form,4.333333333333333,专业清晰，信任感强,"{'score_professionalism_persuasion': 4, 'score_clarity_value': 5, 'score_trust_building': 4, 'critique': '专业清晰，信任感强'}"
14,paid_ad_cta,5.0,文案极具冲击力，能迅速激发好奇心并击中痛点，完美符合品牌理念和目标受众需求。,"{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案极具冲击力，能迅速激发好奇心并击中痛点，完美符合品牌理念和目标受众需求。'}"
15,paid_ad_pas,4.4,文案在点击吸引力和行动号召有效性方面表现优秀，但在简洁性上略显冗长，可能影响信息流广告的快速阅读效果。,"{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案在点击吸引力和行动号召有效性方面表现优秀，但在简洁性上略显冗长，可能影响信息流广告的快速阅读效果。'}"
16,paid_ad_bab,4.2,文案开头成功抓住了注意力，但整体略显冗长，可以进一步精简。,"{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案开头成功抓住了注意力，但整体略显冗长，可以进一步精简。'}"
17,paid_ad_fab,4.2,文案开头具有吸引力，但整体略显冗长，部分信息可以更精简。,"{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案开头具有吸引力，但整体略显冗长，部分信息可以更精简。'}"
18,social_media_review,3.75,内容实用但品牌调性稍弱,"{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 3, 'score_instruction_following': 5, 'critique': '内容实用但品牌调性稍弱'}"
19,social_media_educational,3.5,科普性强但故事感不足,"{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '科普性强但故事感不足'}"
20,social_media_myth_busting,4.0,专业性强但故事性稍弱,"{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '专业性强但故事性稍弱'}"
21,social_media_storytelling,3.5,基本符合要求，但缺乏深度,"{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 5, 'critique': '基本符合要求，但缺乏深度'}"
22,ecommerce_long_form,4.333333333333333,专业清晰，信任感强,"{'score_professionalism_persuasion': 4, 'score_clarity_value': 5, 'score_trust_building': 4, 'critique': '专业清晰，信任感强'}"
23,paid_ad_cta,4.4,钩子部分具有吸引力，但利益点部分略显冗长，可以进一步精简以提升简洁性。,"{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '钩子部分具有吸引力，但利益点部分略显冗长，可以进一步精简以提升简洁性。'}"
24,paid_ad_pas,4.2,文案在点击吸引力和行动号召有效性方面表现良好，但在简洁性上略显冗长，可能不适合快速滑动的信息流广告场景。,"{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案在点击吸引力和行动号召有效性方面表现良好，但在简洁性上略显冗长，可能不适合快速滑动的信息流广告场景。'}"
25,paid_ad_bab,4.2,文案在点击吸引力和行动号召有效性方面表现良好，但略显冗长，未能完全符合信息流广告的'短平快'要求。,"{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': ""文案在点击吸引力和行动号召有效性方面表现良好，但略显冗长，未能完全符合信息流广告的'短平快'要求。""}"
26,paid_ad_fab,4.0,文案内容全面但略显冗长，核心信息清晰但吸引力一般。,"{'score_suitability_brevity': 3, 'score_click_appeal': 3, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案内容全面但略显冗长，核心信息清晰但吸引力一般。'}"
27,social_media_review,4.0,情感真挚但专业感稍弱,"{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 3, 'score_instruction_following': 5, 'critique': '情感真挚但专业感稍弱'}"
28,social_media_educational,3.5,科普性强但故事感稍弱,"{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '科普性强但故事感稍弱'}"
29,social_media_myth_busting,4.0,信息实用但故事性较弱,"{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '信息实用但故事性较弱'}"
30,social_media_storytelling,3.5,基本符合要求，但缺乏深度,"{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 5, 'critique': '基本符合要求，但缺乏深度'}"
31,ecommerce_long_form,4.333333333333333,专业清晰，信任感强,"{'score_professionalism_persuasion': 4, 'score_clarity_value': 5, 'score_trust_building': 4, 'critique': '专业清晰，信任感强'}"
32,paid_ad_cta,4.6,文案的钩子部分成功抓住了敏感肌用户的痛点，但核心成分部分略显冗长，可能影响信息流的快速阅读体验。,"{'score_suitability_brevity': 4, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案的钩子部分成功抓住了敏感肌用户的痛点，但核心成分部分略显冗长，可能影响信息流的快速阅读体验。'}"
33,paid_ad_pas,3.8,灾难性的冗长，包含了大段的、不必要的细节，完全不适合作为付费广告。,"{'score_suitability_brevity': 1, 'score_click_appeal': 3, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '灾难性的冗长，包含了大段的、不必要的细节，完全不适合作为付费广告。'}"
34,paid_ad_bab,4.0,文案在点击吸引力方面表现良好，能够迅速抓住目标受众的痛点，但在简洁性和行动号召有效性方面还有提升空间。,"{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案在点击吸引力方面表现良好，能够迅速抓住目标受众的痛点，但在简洁性和行动号召有效性方面还有提升空间。'}"
35,paid_ad_fab,4.2,文案信息全面但略显冗长，适合深度阅读但不符合信息流广告的快速滑动场景。,"{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案信息全面但略显冗长，适合深度阅读但不符合信息流广告的快速滑动场景。'}"
36,social_media_review,3.75,内容实用但品牌专业感稍弱,"{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 3, 'score_instruction_following': 5, 'critique': '内容实用但品牌专业感稍弱'}"
37,social_media_educational,4.0,科普性强，品牌契合度高,"{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '科普性强，品牌契合度高'}"
38,social_media_myth_busting,4.0,专业但故事性稍弱,"{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '专业但故事性稍弱'}"
