index,content_type,avg_score,critique,scores
0,social_media_review,4.0,内容实用但故事性稍弱,"{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '内容实用但故事性稍弱'}"
1,social_media_educational,4.25,专业科普但故事性稍弱,"{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业科普但故事性稍弱'}"
2,social_media_myth_busting,4.75,专业科普，破除误区,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业科普，破除误区'}"
3,social_media_storytelling,4.0,故事性一般，但专业性强,"{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '故事性一般，但专业性强'}"
4,ecommerce_long_form,5.0,专业性强，信息清晰，信任感高,"{'score_professionalism_persuasion': 5, 'score_clarity_value': 5, 'score_trust_building': 5, 'critique': '专业性强，信息清晰，信任感高'}"
5,paid_ad_cta,5.0,钩子极具冲击力，能迅速激发好奇心并击中痛点，完美符合信息流广告的短平快要求。,"{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '钩子极具冲击力，能迅速激发好奇心并击中痛点，完美符合信息流广告的短平快要求。'}"
6,paid_ad_pas,4.0,文案开头成功放大痛点，但整体略显冗长，CTA可以更强烈。,"{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案开头成功放大痛点，但整体略显冗长，CTA可以更强烈。'}"
7,paid_ad_bab,4.2,文案结构清晰，符合之前-之后-桥梁风格，但CTA部分可以更具吸引力。,"{'score_suitability_brevity': 4, 'score_click_appeal': 4, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案结构清晰，符合之前-之后-桥梁风格，但CTA部分可以更具吸引力。'}"
8,paid_ad_fab,4.0,文案内容准确且遵循指令，但缺乏强烈的点击吸引力,"{'score_suitability_brevity': 4, 'score_click_appeal': 3, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案内容准确且遵循指令，但缺乏强烈的点击吸引力'}"
9,social_media_review,4.0,真实感强，品牌契合度稍弱,"{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 3, 'score_instruction_following': 5, 'critique': '真实感强，品牌契合度稍弱'}"
10,social_media_educational,4.0,科普性强，品牌契合度高,"{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '科普性强，品牌契合度高'}"
11,social_media_myth_busting,4.5,专业科普与品牌理念融合自然,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '专业科普与品牌理念融合自然'}"
12,social_media_storytelling,4.25,真实感强，品牌契合度高,"{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '真实感强，品牌契合度高'}"
13,ecommerce_long_form,4.333333333333333,专业性强，信息清晰,"{'score_professionalism_persuasion': 4, 'score_clarity_value': 5, 'score_trust_building': 4, 'critique': '专业性强，信息清晰'}"
14,paid_ad_cta,4.4,文案开头极具吸引力，但核心配方部分略显冗长，可能影响信息流的快速阅读体验。,"{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案开头极具吸引力，但核心配方部分略显冗长，可能影响信息流的快速阅读体验。'}"
15,paid_ad_pas,4.2,文案开头极具吸引力，成功放大痛点并引发共鸣，但整体略显冗长，部分细节可进一步精简。,"{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案开头极具吸引力，成功放大痛点并引发共鸣，但整体略显冗长，部分细节可进一步精简。'}"
16,paid_ad_bab,4.2,文案开头成功抓住了用户的痛点，但整体略显冗长，不够精炼。,"{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案开头成功抓住了用户的痛点，但整体略显冗长，不够精炼。'}"
