index,content_type,best_model,base_avg_score,sft_avg_score,grpo_avg_score,base_critique,sft_critique,grpo_critique,base_scores,sft_scores,grpo_scores
0,social_media_review,C,3.25,4.25,5.0,广告感较重，缺乏深度,实用性强，品牌契合度高,故事性强，品牌融合完美,"{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '广告感较重，缺乏深度'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '实用性强，品牌契合度高'}","{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '故事性强，品牌融合完美'}"
1,social_media_educational,B,2.75,4.75,4.0,广告感强，缺乏深度,专业科普，品牌契合,科学解析，实用建议,"{'score_authenticity_immersion': 2, 'score_value_engagement': 3, 'score_brand_fit': 2, 'score_instruction_following': 4, 'critique': '广告感强，缺乏深度'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业科普，品牌契合'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '科学解析，实用建议'}"
2,social_media_myth_busting,B,3.25,5.0,4.25,广告感较重，故事性不足,专业性强，故事引人入胜,科学性强，但故事性稍弱,"{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '广告感较重，故事性不足'}","{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业性强，故事引人入胜'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '科学性强，但故事性稍弱'}"
3,social_media_storytelling,C,3.75,4.0,4.75,产品卖点突出，但故事性较弱,内容冗长，但品牌契合度高,故事真实感人，互动潜力高,"{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '产品卖点突出，但故事性较弱'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 5, 'score_instruction_following': 3, 'critique': '内容冗长，但品牌契合度高'}","{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '故事真实感人，互动潜力高'}"
4,ecommerce_long_form,B,3.3333333333333335,5.0,4.0,信息清晰但专业性一般,专业性强，信息全面,科学性强但略显简略,"{'score_professionalism_persuasion': 3, 'score_clarity_value': 4, 'score_trust_building': 3, 'critique': '信息清晰但专业性一般'}","{'score_professionalism_persuasion': 5, 'score_clarity_value': 5, 'score_trust_building': 5, 'critique': '专业性强，信息全面'}","{'score_professionalism_persuasion': 4, 'score_clarity_value': 4, 'score_trust_building': 4, 'critique': '科学性强但略显简略'}"
5,paid_ad_cta,B,4.2,5.0,4.4,文案信息全面但略显冗长，利益点部分可以更简洁。,钩子极具吸引力，利益点简洁有力，CTA明确且具有说服力。,文案科学性强，但钩子部分略显平淡，缺乏足够的冲击力。,"{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案信息全面但略显冗长，利益点部分可以更简洁。'}","{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '钩子极具吸引力，利益点简洁有力，CTA明确且具有说服力。'}","{'score_suitability_brevity': 4, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案科学性强，但钩子部分略显平淡，缺乏足够的冲击力。'}"
6,paid_ad_pas,B,3.4,4.8,4.4,文案冗长，不符合信息流广告的短平快要求,简洁有力，迅速抓住注意力,CTA明确，但结构稍显复杂,"{'score_suitability_brevity': 2, 'score_click_appeal': 3, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 4, 'critique': '文案冗长，不符合信息流广告的短平快要求'}","{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '简洁有力，迅速抓住注意力'}","{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': 'CTA明确，但结构稍显复杂'}"
7,paid_ad_bab,B,4.2,5.0,4.0,文案内容丰富，但略显冗长，适合深度阅读但不符合快速滑动场景。,简洁有力，科学配方的描述增强了专业感，CTA明确且吸引人。,比喻生动但开头吸引力不足，CTA较弱，适合情感化但不够直接。,"{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案内容丰富，但略显冗长，适合深度阅读但不符合快速滑动场景。'}","{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '简洁有力，科学配方的描述增强了专业感，CTA明确且吸引人。'}","{'score_suitability_brevity': 4, 'score_click_appeal': 3, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '比喻生动但开头吸引力不足，CTA较弱，适合情感化但不够直接。'}"
8,paid_ad_fab,C,3.6,4.2,4.8,文案过于冗长，包含大量不必要的细节和emoji，不符合信息流广告的简洁要求。,文案简洁且科学感强，但CTA部分较弱，缺乏明确的行动号召。,文案极其简洁，开头直接击中痛点，科学配方和适用肤质信息清晰，是最佳版本。,"{'score_suitability_brevity': 2, 'score_click_appeal': 3, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 4, 'critique': '文案过于冗长，包含大量不必要的细节和emoji，不符合信息流广告的简洁要求。'}","{'score_suitability_brevity': 4, 'score_click_appeal': 4, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁且科学感强，但CTA部分较弱，缺乏明确的行动号召。'}","{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案极其简洁，开头直接击中痛点，科学配方和适用肤质信息清晰，是最佳版本。'}"
9,social_media_review,C,4.0,3.5,5.0,生动但稍显广告化,信息全面但缺乏深度,真实感人设与品牌完美融合,"{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 3, 'score_instruction_following': 5, 'critique': '生动但稍显广告化'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 4, 'score_instruction_following': 4, 'critique': '信息全面但缺乏深度'}","{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '真实感人设与品牌完美融合'}"
10,social_media_educational,B,3.75,4.75,4.25,广告感较重，但信息丰富,科学性强，品牌契合度高,科普与品牌结合较好,"{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 3, 'score_instruction_following': 5, 'critique': '广告感较重，但信息丰富'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '科学性强，品牌契合度高'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '科普与品牌结合较好'}"
11,social_media_myth_busting,C,3.0,4.5,5.0,广告感较重，缺乏深度,科普性强，互动潜力高,专业且全面，完美契合,"{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 2, 'score_instruction_following': 4, 'critique': '广告感较重，缺乏深度'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '科普性强，互动潜力高'}","{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业且全面，完美契合'}"
12,social_media_storytelling,C,3.25,4.25,5.0,故事性一般，广告感较重,真实感强，品牌契合度高,故事引人入胜，专业性强,"{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '故事性一般，广告感较重'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '真实感强，品牌契合度高'}","{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '故事引人入胜，专业性强'}"
