index,content_type,best_model,golden_avg_score,finetuned_avg_score,base_avg_score,golden_critique,finetuned_critique,base_critique,golden_scores,finetuned_scores,base_scores
0,social_media_review,A,5.0,3.5,2.5,真实故事与专业完美融合,信息实用但故事性较弱,广告感强，缺乏深度,"{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '真实故事与专业完美融合'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 4, 'score_instruction_following': 4, 'critique': '信息实用但故事性较弱'}","{'score_authenticity_immersion': 2, 'score_value_engagement': 2, 'score_brand_fit': 3, 'score_instruction_following': 3, 'critique': '广告感强，缺乏深度'}"
1,social_media_educational,A,5.0,3.75,2.25,专业科普与真实体验完美结合,科学性强但缺乏故事性,过于营销化，缺乏深度,"{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业科普与真实体验完美结合'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 4, 'critique': '科学性强但缺乏故事性'}","{'score_authenticity_immersion': 2, 'score_value_engagement': 2, 'score_brand_fit': 2, 'score_instruction_following': 3, 'critique': '过于营销化，缺乏深度'}"
2,social_media_myth_busting,A,5.0,4.0,3.0,专业且引人入胜的科普,内容丰富但稍显冗长,情感化但专业性不足,"{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业且引人入胜的科普'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 4, 'critique': '内容丰富但稍显冗长'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 3, 'critique': '情感化但专业性不足'}"
3,social_media_storytelling,A,5.0,2.0,3.5,真实感人，专业与故事完美融合,内容冗长，偏离品牌专业形象,信息丰富但缺乏深度故事性,"{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '真实感人，专业与故事完美融合'}","{'score_authenticity_immersion': 2, 'score_value_engagement': 3, 'score_brand_fit': 2, 'score_instruction_following': 1, 'critique': '内容冗长，偏离品牌专业形象'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '信息丰富但缺乏深度故事性'}"
4,ecommerce_long_form,A,5.0,4.0,3.0,专业权威，逻辑严谨,信息全面，结构清晰,基础信息，略显平淡,"{'score_professionalism_persuasion': 5, 'score_clarity_value': 5, 'score_trust_building': 5, 'critique': '专业权威，逻辑严谨'}","{'score_professionalism_persuasion': 4, 'score_clarity_value': 4, 'score_trust_building': 4, 'critique': '信息全面，结构清晰'}","{'score_professionalism_persuasion': 3, 'score_clarity_value': 3, 'score_trust_building': 3, 'critique': '基础信息，略显平淡'}"
5,paid_ad_cta,A,5.0,4.4,3.8,极具冲击力的开头，迅速激发好奇心,结构清晰，但开头略显平淡,过于详细，不适合快速阅读,"{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '极具冲击力的开头，迅速激发好奇心'}","{'score_suitability_brevity': 4, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '结构清晰，但开头略显平淡'}","{'score_suitability_brevity': 3, 'score_click_appeal': 3, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 4, 'critique': '过于详细，不适合快速阅读'}"
6,paid_ad_pas,A,5.0,3.8,3.2,文案简洁有力，痛点放大解决结构清晰，CTA明确。,文案信息丰富但略显冗长，CTA不够突出。,文案过于冗长，结构复杂，不适合快速阅读场景。,"{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁有力，痛点放大解决结构清晰，CTA明确。'}","{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 4, 'critique': '文案信息丰富但略显冗长，CTA不够突出。'}","{'score_suitability_brevity': 1, 'score_click_appeal': 3, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 3, 'critique': '文案过于冗长，结构复杂，不适合快速阅读场景。'}"
7,paid_ad_bab,B,4.6,4.8,4.2,简洁有力，但未完全遵循之前-之后-桥梁风格,完美遵循之前-之后-桥梁风格，吸引力强,内容详尽但稍显冗长，影响简洁性,"{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 4, 'critique': '简洁有力，但未完全遵循之前-之后-桥梁风格'}","{'score_suitability_brevity': 4, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '完美遵循之前-之后-桥梁风格，吸引力强'}","{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '内容详尽但稍显冗长，影响简洁性'}"
8,paid_ad_fab,A,5.0,4.4,3.4,文案极其精炼，信息高度压缩，完美适配信息流的阅读场景。,文案基本遵循指令，但略有啰嗦，核心信息尚算清晰。,文案过于冗长，包含了大段的、不必要的细节，完全不适合作为付费广告。,"{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案极其精炼，信息高度压缩，完美适配信息流的阅读场景。'}","{'score_suitability_brevity': 4, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案基本遵循指令，但略有啰嗦，核心信息尚算清晰。'}","{'score_suitability_brevity': 2, 'score_click_appeal': 3, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 4, 'critique': '文案过于冗长，包含了大段的、不必要的细节，完全不适合作为付费广告。'}"
9,social_media_review,A,5.0,3.25,3.75,专业且真实，完美契合品牌,信息完整但缺乏深度,生动但稍显夸张,"{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业且真实，完美契合品牌'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '信息完整但缺乏深度'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '生动但稍显夸张'}"
