index,content_type,best_model,golden_avg_score,finetuned_avg_score,base_avg_score,golden_critique,finetuned_critique,base_critique,golden_scores,finetuned_scores,base_scores
0,social_media_review,A,4.75,4.75,4.25,专业与故事完美融合,真实感强，品牌稍弱,情感丰富，专业稍逊,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业与故事完美融合'}","{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '真实感强，品牌稍弱'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '情感丰富，专业稍逊'}"
1,social_media_educational,A,5.0,3.75,3.75,专业科普与真实体验完美结合,科学性强但故事性稍弱,情感共鸣强但专业度稍逊,"{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业科普与真实体验完美结合'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 4, 'critique': '科学性强但故事性稍弱'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '情感共鸣强但专业度稍逊'}"
2,social_media_myth_busting,C,4.75,3.75,5.0,专业科普，品牌契合度高,故事感稍弱，但信息丰富,故事动人，品牌传递自然,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业科普，品牌契合度高'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 4, 'critique': '故事感稍弱，但信息丰富'}","{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '故事动人，品牌传递自然'}"
3,social_media_storytelling,A,5.0,3.25,3.75,真实故事与品牌理念完美融合,内容中规中矩，缺乏亮点,情感丰富但稍显夸张,"{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '真实故事与品牌理念完美融合'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '内容中规中矩，缺乏亮点'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '情感丰富但稍显夸张'}"
4,ecommerce_long_form,A,5.0,4.0,3.0,专业权威，逻辑严谨,科学精准，结构清晰,营销感强，信息完整,"{'score_professionalism_persuasion': 5, 'score_clarity_value': 5, 'score_trust_building': 5, 'critique': '专业权威，逻辑严谨'}","{'score_professionalism_persuasion': 4, 'score_clarity_value': 4, 'score_trust_building': 4, 'critique': '科学精准，结构清晰'}","{'score_professionalism_persuasion': 3, 'score_clarity_value': 3, 'score_trust_building': 3, 'critique': '营销感强，信息完整'}"
5,paid_ad_cta,B,4.6,4.8,4.2,极具冲击力的开头，能迅速激发好奇心,简洁有力，行动号召明确且有吸引力,内容丰富但略显冗长，适合更详细的介绍场景,"{'score_suitability_brevity': 4, 'score_click_appeal': 5, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '极具冲击力的开头，能迅速激发好奇心'}","{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '简洁有力，行动号召明确且有吸引力'}","{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '内容丰富但略显冗长，适合更详细的介绍场景'}"
6,paid_ad_pas,A,4.8,4.4,4.4,简洁有力，直接击中痛点并提供解决方案。,痛点放大明显，但文案稍显冗长。,极具吸引力但过于冗长，不适合快速滑动场景。,"{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '简洁有力，直接击中痛点并提供解决方案。'}","{'score_suitability_brevity': 3, 'score_click_appeal': 5, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '痛点放大明显，但文案稍显冗长。'}","{'score_suitability_brevity': 2, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '极具吸引力但过于冗长，不适合快速滑动场景。'}"
7,paid_ad_bab,A,4.4,4.2,3.8,简洁有力，直接击中痛点，但CTA稍显模板化。,情感共鸣强烈，但结构稍显冗长，CTA不够突出。,灾难性的冗长，完全不适合付费广告，尽管CTA明确。,"{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 4, 'critique': '简洁有力，直接击中痛点，但CTA稍显模板化。'}","{'score_suitability_brevity': 3, 'score_click_appeal': 5, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '情感共鸣强烈，但结构稍显冗长，CTA不够突出。'}","{'score_suitability_brevity': 1, 'score_click_appeal': 3, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '灾难性的冗长，完全不适合付费广告，尽管CTA明确。'}"
8,paid_ad_fab,A,4.8,4.2,4.0,文案简洁有力，行动号召明确，但开头吸引力稍逊。,开头极具吸引力，但结构稍显冗长，CTA较弱。,内容丰富但过于冗长，不适合快速浏览的信息流广告。,"{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁有力，行动号召明确，但开头吸引力稍逊。'}","{'score_suitability_brevity': 3, 'score_click_appeal': 5, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '开头极具吸引力，但结构稍显冗长，CTA较弱。'}","{'score_suitability_brevity': 2, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '内容丰富但过于冗长，不适合快速浏览的信息流广告。'}"
9,social_media_review,A,5.0,4.0,3.0,专业且真实的使用反馈,真实但略显平淡,情感丰富但专业感不足,"{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业且真实的使用反馈'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 4, 'critique': '真实但略显平淡'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 3, 'critique': '情感丰富但专业感不足'}"
